"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"1316","Nese (Matanvat)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 170","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1317","Espiegels' Bay (Shore)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1318","ßatarxobu (Gunwar)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 174","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:90Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1319","Siviti (Womol)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 177","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:85Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1320","Espiegel's Bay (Litebral)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 172","Number of Retentions: Proto Malayo-Polynesian:59","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1321","Malua Bay (Petarmul 2)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 156","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:80Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1322","Najit",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 171","Number of Retentions: Proto Malayo-Polynesian:59","Proto-Oceanic:79Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1323","Alavas-Wowo (Wowo 1)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:88Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1324","Aitchin (Small Island)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 174","Number of Retentions: Proto Malayo-Polynesian:68","Proto-Oceanic:92Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1325","Mbwenelang (Xoli)",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 181","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:79Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1326","Tirax (Mae A)","mme",-16,167.25,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 166","Number of Retentions: Proto Malayo-Polynesian:58","Proto-Oceanic:86Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_mae","http://www.ethnologue.com/show_language.asp?code=mme"
"1327","Malua Bay (Marasup)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 182","Number of Retentions: Proto Malayo-Polynesian:63","Proto-Oceanic:90Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1328","Tirax (Mae B)","mme",-16,167.25,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 188","Number of Retentions: Proto Malayo-Polynesian:64","Proto-Oceanic:88Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_mae","http://www.ethnologue.com/show_language.asp?code=mme"
"1329","Burmbar","vrt",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 177","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:73Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vrt"
"1330","Port Sandwich (Lamap 1)","psw",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=psw"
"1331","Alavas 2",NA,NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:63","Proto-Oceanic:86Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Malekula Interior",NA,NA
"1332","Malua Bay (TipTir)","mll",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 176","Number of Retentions: Proto Malayo-Polynesian:60","Proto-Oceanic:83Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=mll"
"1333","Aulua (Loxse Asolokh)","aul",-16.33,167.67,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 188","Number of Retentions: Proto Malayo-Polynesian:61","Proto-Oceanic:81Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_aul","http://www.ethnologue.com/show_language.asp?code=aul"
"1334","Wala (Worprev B)","upv",-16,167.33,"Vanuatu","Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 178","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:91Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal","http://wals.info/languoid/lect/wals_code_atc","http://www.ethnologue.com/show_language.asp?code=upv"
"1335","Port Sandwich (Lamap 2","psw",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 175","Number of Retentions: Proto Malayo-Polynesian:58","Proto-Oceanic:78Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=psw"
"1336","Vao (Beetehul)","vao",NA,NA,NA,"Aviva Shimelman","Transcription -- broad -- done with standard IPA with the exception that [<U+1D05>] was represented as ""d<U+02B3>"".","Typed By: Aviva Shimelman  Checked By: Aviva Shimelman","Total Data: 109","Number of Retentions: Proto Malayo-Polynesian:42","Proto-Oceanic:61Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:Northeast Vanuatu-Banks Islands:Malekula Coastal",NA,"http://www.ethnologue.com/show_language.asp?code=vao"
"1337","Paiwan (Tjatjigel Egli)","pwn",22.5,120.83,"Taiwan","Hans Egli, 2002, Paiwanwörterbuch. Harrassowitz","This dictionary is generally ignored in the Formosan literature because it is in German. The orthography has been converted to that of Ferrell's Paiwan dictionary, in order to facilitate comparison.","Egli cites most verbs in their actor voice form, with m(V)- or -em-. Forms in  m(V)-  are segmented by a hyphen. I have omitted the -em- infix from list items, as it is predictable.","Typed By: Malcolm Ross  Checked By:",NA,NA,"Total Data: 214
            Number of Retentions: Number of Loans: 0","http://wals.info/languoid/lect/wals_code_pai","http://www.ethnologue.com/show_language.asp?code=pwn"
"1338","Mato (Ramuk dialect)","met",NA,NA,NA,"Stober 2005, 2013 & Lincoln 1976","Author / Source: Stober, Scot, 2005. Mato dialect survey.  Unpublished ms., Summer Institute of Linguistics. 
Stober, Scot F., 2013. Mato grammar sketch.  Ukarumpa: SIL-PNG Academic Publications. (Data Papers on Papua New Guinea Languages 59)
Lincoln, Peter C., 1976. Rai Coast Austronesian language survey data, in two parts.  Mimeo, University of Hawai`i. 
Notes: Stober's list is the main source, but supplemented with data from Lincoln's Nenaya list (agreement between the two lists is good) and from Stober's grammar sketch.","Typed By: Malcolm Ross  Checked By: Malcolm Ross","Total Data: 199","Number of Retentions: Proto Malayo-Polynesian:39","Proto-Oceanic:43Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Ngero-Vitiaz:Vitiaz:Roinji-Nenaya",NA,"http://www.ethnologue.com/show_language.asp?code=met"
"1339","Mangap-Mbula","mna",-5.67,148.08,"Papua New Guinea","Bugenhagen 1995, Bugenhagen & Bugenhagen 2007","Bugenhagen, Robert D., 1995. A grammar of Mangap-Mbula: An Austronesian language of Papua New Guinea.  Canberra: Pacific Linguistics. (Pacific Linguistics C-101)
Bugenhagen, Salme & Robert D. Bugenhagen, 2007. Ro Ta Ipiyooto Sua Mbula Uunu: Mbula-English Dictionary.  Ukarumpa: Summer Institute of Linguistics, Papua New Guinea Branch. 
Some cognates are less obvious than they might be because the language has/had a vowel harmony rule that operates from right to left.","There are complications in the historical phonology that result in an unusual (for Oceanic languages) contrast between voiced oral and voice prenasalised stops.","Typed By: Malcolm Ross  Checked By: Malcolm Ross",NA,NA,"Total Data: 208
            Number of Retentions: Proto Malayo-Polynesian:59
             
            Proto-Oceanic:73Number of Loans: 1","http://wals.info/languoid/lect/wals_code_mmb","http://www.ethnologue.com/show_language.asp?code=mna"
"1340","Dobel (Koijabi dialect)","kvo",-6.25,134.67,"Indonesia","Hughes 1995","","Typed By: Antoinette Schapper  Checked By: Antoinette Schapper","Total Data: 171","Number of Retentions: Proto Malayo-Polynesian:45","Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Aru","http://wals.info/languoid/lect/wals_code_dob","http://www.ethnologue.com/show_language.asp?code=kvo"
"1341","Kola","kvv",-5.5,134.5,"Indonesia","De Winne n.d.","","Typed By: Antoinette Schapper  Checked By: Antoinette Schapper","Total Data: 212","Number of Retentions: Proto Malayo-Polynesian:48","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Aru","http://wals.info/languoid/lect/wals_code_koo","http://www.ethnologue.com/show_language.asp?code=kvv"
"1342","Tami","tmy",NA,NA,NA,"Malcolm Ross, fieldnotes, supplemented Bamler 1990","Bamler, Georg, 1900. Bemerkungen zur Grammatik der Tami-Sprache. Zeitschrift für afrikanische und ozeanische Sprachen 5:198-253.
Spoken on islands off the southeast point of the Huon Peninsula of New Guinea.","The sources appear to differ somewhat. Reliability is somewhat less than good. Not clear if there is a distinction between prenasalised and non-prenasalised voiced stops.","Typed By: Malcolm Ross  Checked By: Malcolm Ross",NA,NA,"Total Data: 206
            Number of Retentions: Proto Malayo-Polynesian:66
             
            Proto-Oceanic:76Number of Loans: 3",NA,"http://www.ethnologue.com/show_language.asp?code=tmy"
"1343","Mumeng (Patep dialect)","ptp",-6.92,146.58,"Papua New Guinea","Malcolm Ross, fieldnotes & Adams (n.d.)","(1) Malcolm Ross, fieldnotes
(2) Karen Adams, n.d. Electronic dictionary. Ukarumpa: Summer Institute of Linguistics","Typed By: Malcolm Ross  Checked By: Malcolm Ross","Total Data: 169","Number of Retentions: Proto Malayo-Polynesian:31","Proto-Oceanic:35Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Huon Gulf:South:Hote-Buang:Buang:Mumeng","http://wals.info/languoid/lect/wals_code_pat","http://www.ethnologue.com/show_language.asp?code=ptp"
